商品名(原文),正規化食材名,主原料グループ,食感カテゴリ,タンパク質区分,練り物,乾物(水戻し)
☆☆QP ポテトサラダ 1kg　【VR】【TB】,QP ポテトサラダ,いも系,ほくほく・もったり,,,
☆☆スイートポテト 1kg,スイートポテト,いも系,ほくほく・もったり,,,
☆☆乱切りじゃがいも　500g【VR　TB】,乱切りじゃがいも,いも系,ほくほく・もったり,,,
栗とさつま芋のおつまみ揚げ　23g×42個,栗とさつま芋のおつまみ揚げ,いも系,ほくほく・もったり,,,
☆☆【自然解凍】ひとくち焼きいも(さつま芋) 約5-7g/個 1kg,自然解凍】ひとくち焼きいも(さつま芋) 約5-,いも系,ほくほく・もったり,,,
☆☆【自然解凍】冷凍山芋ダイスカット 1㎏,自然解凍】冷凍山芋ダイスカット 1㎏,いも系,ほくほく・もったり,,,
☆☆里芋丸2Sサイズ 500g,里芋丸2Sサイズ,いも系,ほくほく・もったり,,,
☆☆ごま油香塩じゃがコロッケ　50g×20個,ごま油香塩じゃがコロッケ,いも系,フライ・衣サクサク,鶏肉,,
むらさきいもコロッケ　30g×10個,むらさきいもコロッケ,いも系,フライ・衣サクサク,,,
☆☆サンヨーT　栗かぼちゃコロッケ　30g×30個,サンヨーT　栗かぼちゃコロッケ,いも系,フライ・衣サクサク,,,
☆☆境港産紅ずわい蟹クリームコロッケ　35g×20個【VR】,境港産紅ずわい蟹クリームコロッケ,かに系,フライ・衣サクサク,鶏肉/かに,,
鳥取県産紅ズワイカニクリームコロッケ　60g×8,鳥取県産紅ズワイカニクリームコロッケ,かに系,フライ・衣サクサク,,,
かぼちゃ乱切り　500g　※アトラス,かぼちゃ乱切り,かぼちゃ,ほくほく・もったり,,,
自然解凍　かぼちゃ天ぷら　25g×20枚　協和商工,自然解凍　かぼちゃ天ぷら,かぼちゃ,フライ・衣サクサク,えび,,
☆☆しいたけスライス　500g,しいたけスライス,きのこ系,シャキ・やわ野菜,,,
☆☆やわらかぶなしめじカット500g,やわらかぶなしめじカット,きのこ系,シャキ・やわ野菜,,,
☆☆冷凍カットえのき 500g,冷凍カットえのき,きのこ系,シャキ・やわ野菜,,,
☆☆ｴﾘﾝｷﾞｽﾗｲｽ 500g,ｴﾘﾝｷﾞｽﾗｲｽ,きのこ系,シャキ・やわ野菜,,,
☆☆つきこんにゃく国産　500g,つきこんにゃく国産,こんにゃく系,こんにゃく・弾力,,,
☆☆パスタこんにゃく 250g　※こんにゃくにある茶色の斑点は芋の皮の一部です。,パスタこんにゃく,こんにゃく系,こんにゃく・弾力,,,
本鮪のメンチカツ　岩下の新生姜入り　30g×15,本鮪のメンチカツ　岩下の新生姜入り,ひき肉系,フライ・衣サクサク,,,
黒毛和牛入りメンチカツ※栄養価仮です,黒毛和牛入りメンチカツ,ひき肉系,フライ・衣サクサク,,,
☆☆こんがり直火焼チーズハンバーグ 30g×10個,こんがり直火焼チーズハンバーグ,ひき肉系,成形肉・やわらか,鶏肉/牛肉,,
☆☆※まめﾌﾟﾗｽM(ﾐﾝﾁ) 1kg,まめﾌﾟﾗｽM(ﾐﾝﾁ),ひき肉系,成形肉・やわらか,,,
☆☆やわらかディッシュハンバーグ 30g×25個（ハンバーグ）,やわらかディッシュハンバーグ,ひき肉系,成形肉・やわらか,鶏肉/牛肉/豚肉,,
5/16～発注可能　名古屋コーチン入りつくねバーグ　30g×10個,名古屋コーチン入りつくねバーグ,ひき肉系,成形肉・やわらか,鶏肉/牛肉,,
☆☆牛タン入りハンバーグ　30g×40個,牛タン入りハンバーグ,ひき肉系,成形肉・やわらか,鶏肉/牛肉,,
☆☆【自然解凍】ミートボール(ﾄﾏﾄｿｰｽ)　930g（50個以上）,自然解凍】ミートボール(ﾄﾏﾄｿｰｽ),ひき肉系,成形肉・やわらか,鶏肉/豚肉,,
☆☆【自然解凍】鶏そぼろ（500g）,自然解凍】鶏そぼろ（,ひき肉系,成形肉・やわらか,鶏肉,,
鶏豚ひき肉　1㎏,鶏豚ひき肉　1㎏,ひき肉系,成形肉・やわらか,鶏肉/豚肉,,
カット済みロールケーキ カフェラテ（北海道クリーム使用）20カット (190g),カット済みロールケーキ カフェラテ（北海道クリーム使用）20カット (,デザート,デザート,,,
ＦＣ　ケーク・オ・バナーヌ　36カット,ＦＣ　ケーク・オ・バナーヌ　36カット,デザート,デザート,,,
サフランライス（パエリア）用　500g,サフランライス（パエリア）用,主食系,主食,,,
そのまま手軽に美ら海もずく　1㎏,そのまま手軽に美ら海もずく　1㎏,乾物系,煮含め・しっとり,,,不要(戻し済/生)
☆☆カットわかめ　200g　うどんランチボックス,カットわかめ,乾物系,煮含め・しっとり,,,不要(戻し済/生)
☆☆切干大根（乾燥状態で）1kg,切干大根（乾燥状態で）,乾物系,煮含め・しっとり,,,要(乾燥)
☆☆徳用ひじき1㎏,徳用ひじき1㎏,乾物系,煮含め・しっとり,,,要(乾燥)
☆☆※日清 緑豆春雨　5㎝カット　1㎏,日清 緑豆春雨　5㎝カット　1㎏,乾物系,煮含め・しっとり,,,不要(戻し済)
☆☆業務用　京花麩　500g,業務用　京花麩,乾物系,煮含め・しっとり,,,要(乾燥)
